v4_2,Lower CI,Upper CI,two-year-intervals,Time,administrative-geography,Geography,sex,Sex,age-groups,AgeGroups
81.74,80.12,83.37,2007-09,2007-09,S12000027,Shetland Islands,female,Female,0-1,00-01
76.96,75.49,78.43,2008-10,2008-10,S12000027,Shetland Islands,male,Male,0-1,00-01
74.75,72.9,76.61,2006-08,2006-08,S12000027,Shetland Islands,male,Male,0-1,00-01
80.61,78.94,82.28,2008-10,2008-10,S12000027,Shetland Islands,female,Female,0-1,00-01
75.88,75.45,76.31,2008-10,2008-10,E06000018,Nottingham,male,Male,0-1,00-01
75.32,74.89,75.76,2007-09,2007-09,E06000018,Nottingham,male,Male,0-1,00-01
80.81,80.38,81.24,2008-10,2008-10,E06000018,Nottingham,female,Female,0-1,00-01
80.18,79.74,80.62,2006-08,2006-08,E06000018,Nottingham,female,Female,0-1,00-01
75.2,74.77,75.64,2006-08,2006-08,E06000018,Nottingham,male,Male,0-1,00-01
80.43,80.0,80.87,2007-09,2007-09,E06000018,Nottingham,female,Female,0-1,00-01
74.83,74.44,75.23,2007-09,2007-09,S12000029,South Lanarkshire,male,Male,0-1,00-01
75.67,75.28,76.06,2008-10,2008-10,S12000029,South Lanarkshire,male,Male,0-1,00-01
79.81,79.46,80.16,2007-09,2007-09,S12000029,South Lanarkshire,female,Female,0-1,00-01
79.47,79.12,79.83,2006-08,2006-08,S12000029,South Lanarkshire,female,Female,0-1,00-01
74.44,74.04,74.84,2006-08,2006-08,S12000029,South Lanarkshire,male,Male,0-1,00-01
80.1,79.76,80.44,2008-10,2008-10,S12000029,South Lanarkshire,female,Female,0-1,00-01
81.11,80.48,81.74,2007-09,2007-09,S12000010,East Lothian,female,Female,0-1,00-01
76.75,76.02,77.47,2007-09,2007-09,S12000010,East Lothian,male,Male,0-1,00-01
77.32,76.6,78.05,2008-10,2008-10,S12000010,East Lothian,male,Male,0-1,00-01
81.22,80.59,81.85,2006-08,2006-08,S12000010,East Lothian,female,Female,0-1,00-01
81.06,80.43,81.7,2008-10,2008-10,S12000010,East Lothian,female,Female,0-1,00-01
76.61,75.9,77.32,2006-08,2006-08,S12000010,East Lothian,male,Male,0-1,00-01
73.88,73.5,74.27,2007-09,2007-09,S12000050,North Lanarkshire,male,Male,0-1,00-01
78.41,78.06,78.76,2006-08,2006-08,S12000050,North Lanarkshire,female,Female,0-1,00-01
74.43,74.05,74.81,2008-10,2008-10,S12000050,North Lanarkshire,male,Male,0-1,00-01
78.68,78.33,79.03,2008-10,2008-10,S12000050,North Lanarkshire,female,Female,0-1,00-01
73.21,72.82,73.6,2006-08,2006-08,S12000050,North Lanarkshire,male,Male,0-1,00-01
78.49,78.15,78.84,2007-09,2007-09,S12000050,North Lanarkshire,female,Female,0-1,00-01
77.03,76.32,77.73,2006-08,2006-08,W06000003,Conwy,male,Male,0-1,00-01
81.78,81.16,82.41,2008-10,2008-10,W06000003,Conwy,female,Female,0-1,00-01
81.5,80.88,82.13,2006-08,2006-08,W06000003,Conwy,female,Female,0-1,00-01
77.2,76.48,77.92,2007-09,2007-09,W06000003,Conwy,male,Male,0-1,00-01
81.71,81.1,82.32,2007-09,2007-09,W06000003,Conwy,female,Female,0-1,00-01
77.87,77.19,78.55,2008-10,2008-10,W06000003,Conwy,male,Male,0-1,00-01
79.76,79.36,80.17,2006-08,2006-08,W06000016,Rhondda Cynon Taf,female,Female,0-1,00-01
75.32,74.84,75.79,2007-09,2007-09,W06000016,Rhondda Cynon Taf,male,Male,0-1,00-01
79.77,79.36,80.18,2007-09,2007-09,W06000016,Rhondda Cynon Taf,female,Female,0-1,00-01
76.0,75.55,76.46,2008-10,2008-10,W06000016,Rhondda Cynon Taf,male,Male,0-1,00-01
80.23,79.81,80.64,2008-10,2008-10,W06000016,Rhondda Cynon Taf,female,Female,0-1,00-01
75.34,74.88,75.81,2006-08,2006-08,W06000016,Rhondda Cynon Taf,male,Male,0-1,00-01
81.13,80.71,81.54,2006-08,2006-08,S12000034,Aberdeenshire,female,Female,0-1,00-01
77.45,76.99,77.91,2006-08,2006-08,S12000034,Aberdeenshire,male,Male,0-1,00-01
77.91,77.46,78.35,2007-09,2007-09,S12000034,Aberdeenshire,male,Male,0-1,00-01
81.33,80.92,81.74,2007-09,2007-09,S12000034,Aberdeenshire,female,Female,0-1,00-01
81.55,81.15,81.95,2008-10,2008-10,S12000034,Aberdeenshire,female,Female,0-1,00-01
78.0,77.56,78.45,2008-10,2008-10,S12000034,Aberdeenshire,male,Male,0-1,00-01
80.28,79.56,81.0,2008-10,2008-10,W06000021,Monmouthshire,male,Male,0-1,00-01
79.55,78.8,80.29,2007-09,2007-09,W06000021,Monmouthshire,male,Male,0-1,00-01
78.75,78.0,79.49,2006-08,2006-08,W06000021,Monmouthshire,male,Male,0-1,00-01
83.21,82.56,83.86,2006-08,2006-08,W06000021,Monmouthshire,female,Female,0-1,00-01
83.56,82.93,84.19,2008-10,2008-10,W06000021,Monmouthshire,female,Female,0-1,00-01
83.19,82.52,83.87,2007-09,2007-09,W06000021,Monmouthshire,female,Female,0-1,00-01
80.8,80.21,81.39,2007-09,2007-09,S12000028,South Ayrshire,female,Female,0-1,00-01
75.44,74.7,76.17,2006-08,2006-08,S12000028,South Ayrshire,male,Male,0-1,00-01
76.27,75.59,76.95,2008-10,2008-10,S12000028,South Ayrshire,male,Male,0-1,00-01
75.71,74.98,76.45,2007-09,2007-09,S12000028,South Ayrshire,male,Male,0-1,00-01
80.84,80.25,81.42,2006-08,2006-08,S12000028,South Ayrshire,female,Female,0-1,00-01
81.01,80.44,81.59,2008-10,2008-10,S12000028,South Ayrshire,female,Female,0-1,00-01
76.96,76.04,77.88,2006-08,2006-08,W06000001,Isle of Anglesey,male,Male,0-1,00-01
82.68,81.93,83.43,2006-08,2006-08,W06000001,Isle of Anglesey,female,Female,0-1,00-01
76.92,76.03,77.82,2007-09,2007-09,W06000001,Isle of Anglesey,male,Male,0-1,00-01
81.93,81.11,82.75,2008-10,2008-10,W06000001,Isle of Anglesey,female,Female,0-1,00-01
82.07,81.28,82.85,2007-09,2007-09,W06000001,Isle of Anglesey,female,Female,0-1,00-01
77.3,76.47,78.14,2008-10,2008-10,W06000001,Isle of Anglesey,male,Male,0-1,00-01
80.53,80.0,81.06,2007-09,2007-09,S12000006,Dumfries and Galloway,female,Female,0-1,00-01
80.48,79.97,80.99,2006-08,2006-08,S12000006,Dumfries and Galloway,female,Female,0-1,00-01
76.79,76.2,77.39,2007-09,2007-09,S12000006,Dumfries and Galloway,male,Male,0-1,00-01
76.43,75.83,77.03,2006-08,2006-08,S12000006,Dumfries and Galloway,male,Male,0-1,00-01
81.34,80.82,81.85,2008-10,2008-10,S12000006,Dumfries and Galloway,female,Female,0-1,00-01
